C,D,n_targets,delta_vs_baseline,jaccard_vs_baseline,intersect_count,spearman_rho_vs_baseline
100,30,1781,546,0.6934,1235,1.0
100,40,1619,384,0.7628,1235,1.0
100,50,1495,260,0.8261,1235,1.0
100,75,1288,53,0.7316,1066,1.0
100,100,1144,-91,0.6671,952,1.0
150,30,1638,403,0.754,1235,1.0
150,40,1482,247,0.8333,1235,1.0
150,50,1362,127,0.9068,1235,1.0
150,75,1175,-60,0.7932,1066,1.0
150,100,1047,-188,0.7158,952,1.0
200,30,1487,252,0.8305,1235,1.0
200,40,1348,113,0.9162,1235,1.0
200,50,1235,0,1.0,1235,1.0
200,75,1063,-172,0.8607,1063,1.0
200,100,946,-289,0.766,946,1.0
250,30,1339,104,0.7606,1112,1.0
250,40,1211,-24,0.8254,1106,1.0
250,50,1101,-134,0.8915,1101,1.0
250,75,941,-294,0.7619,941,1.0
250,100,833,-402,0.6745,833,1.0
300,30,1195,-40,0.691,993,1.0
300,40,1083,-152,0.7442,989,1.0
300,50,986,-249,0.7984,986,1.0
300,75,843,-392,0.6826,843,1.0
300,100,747,-488,0.6049,747,1.0
400,30,935,-300,0.5589,778,1.0
400,40,841,-394,0.5896,770,1.0
400,50,769,-466,0.6227,769,1.0
400,75,650,-585,0.5263,650,1.0
400,100,577,-658,0.4672,577,1.0
