,cell_line,median_n_cells_x_perturb,median_tscp_count
0,CVCL_0023,2026.0,1695.0
1,CVCL_0028,450.5,1203.0
2,CVCL_0069,1231.5,1868.0
3,CVCL_0099,960.0,1365.0
4,CVCL_0131,1732.5,2167.0
5,CVCL_0152,1849.0,1467.0
6,CVCL_0179,977.5,2339.0
7,CVCL_0218,1158.5,1505.0
8,CVCL_0292,1266.5,1238.0
9,CVCL_0293,2024.5,1945.0
10,CVCL_0320,1725.5,1879.0
11,CVCL_0332,1328.5,2338.0
12,CVCL_0334,1863.5,1476.0
13,CVCL_0359,1787.0,2125.0
14,CVCL_0366,1152.5,2646.0
15,CVCL_0371,1765.5,1803.0
16,CVCL_0397,1468.0,2118.0
17,CVCL_0399,2442.5,1757.0
18,CVCL_0428,1798.0,2017.0
19,CVCL_0459,4464.5,1628.0
20,CVCL_0480,3165.5,2550.0
21,CVCL_0504,1782.5,1370.0
22,CVCL_0546,4797.5,1569.0
23,CVCL_1055,1123.0,2905.0
24,CVCL_1056,2084.0,2981.0
25,CVCL_1094,1199.5,1365.0
26,CVCL_1097,1585.5,1556.0
27,CVCL_1098,898.5,1445.0
28,CVCL_1119,1930.5,1955.0
29,CVCL_1125,436.5,1271.0
30,CVCL_1239,789.0,1730.0
31,CVCL_1285,2611.0,1844.0
32,CVCL_1381,1728.0,1972.0
33,CVCL_1478,1729.5,2070.0
34,CVCL_1495,1441.0,2112.0
35,CVCL_1517,1401.0,2936.0
36,CVCL_1531,30.0,894.0
37,CVCL_1547,1360.5,2044.0
38,CVCL_1550,1821.5,2904.0
39,CVCL_1571,23.0,768.0
40,CVCL_1577,110.0,3201.0
41,CVCL_1635,1341.5,2011.0
42,CVCL_1666,1303.0,1441.0
43,CVCL_1693,1732.5,1422.0
44,CVCL_1715,102.0,1405.0
45,CVCL_1716,169.0,1365.0
46,CVCL_1717,1532.0,1986.0
47,CVCL_1724,772.0,1543.0
48,CVCL_1731,1315.5,1728.0
49,CVCL_C466,1307.0,1369.0
